cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
3903859,1,1597084,1,5387685,Aprameya Guruprasad,1,0,6,0,1,0,0,0,0,6.00
3903859,1,1597084,2,10052031,Yashu,1,0,2,0,5,0,0,0,0,2.00
3903859,1,1597084,3,8444682,Pavan Gautham,1,0,12,0,2,1,1,0,0,12.00
3903859,1,1597084,4,8814171,Pavan Raghavendra,1,0,17,0,2,0,2,2,0,17.00
3903859,1,1597084,5,8129644,Pavan Kashyap  (c),2,0,7,1,6,0,0,1,0,3.50
3903859,1,1597084,6,8670699,Ajith P,1,0,24,0,2,0,4,0,0,24.00
3903859,2,1597088,1,8556484,Srinidhi NS,1,0,11,1,2,0,1,2,0,11.00
3903859,2,1597088,2,8445462,Prasad K S  (c),1,0,17,0,3,1,2,1,0,17.00
3903859,2,1597088,3,7662592,Vittala,1,0,6,0,5,1,0,1,1,6.00
3903859,2,1597088,4,1224122,Badriprasad,2,0,23,1,6,0,3,2,0,11.50
3903859,2,1597088,5,8445318,K S AKSHAY KAUSHIK,1,0,10,0,3,0,1,2,0,10.00
3903859,2,1597088,6,8453971,Srikanth Krishnamurthy,0.2,0,2,0,1,0,0,1,0,6.00
3903870,1,1597085,1,809867,Prabhav PK,1,0,4,0,2,0,0,0,0,4.00
3903870,1,1597085,2,8556544,Sudhindhra,1,0,11,0,4,1,1,1,0,11.00
3903870,1,1597085,3,8469156,Sridhar,1,0,5,1,3,0,0,2,0,5.00
3903870,1,1597085,4,5922441,Prasanna,1,0,14,1,3,0,2,1,0,14.00
3903870,1,1597085,5,8445414,Tej,2,0,18,0,6,2,1,1,0,9.00
3903870,1,1597085,6,8445292,Mahesh,1,0,16,0,1,1,1,3,0,16.00
3903870,2,1597090,1,8445309,Sandeep,1,0,3,0,3,0,0,0,0,3.00
3903870,2,1597090,2,10031570,Sridhar Ramchandrachar,1,0,2,0,4,0,0,0,0,2.00
3903870,2,1597090,3,8445342,Guruprasad Ramachandrachar,1,0,15,1,2,0,2,1,0,15.00
3903870,2,1597090,4,4416809,BHARATH G S AGASTHYA,2,0,15,1,7,0,2,0,0,7.50
