cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
6947146,2,1597087,5,8452770,Ashrith Kashyap,0,2,6,3,0,0,33.33,RHB,c&b Ajith P,1
6947146,2,1597087,6,8444550,Bharadwaj Srivatsa,1,8,6,6,0,1,133.33,RHB,c Prabhanjan b BHARATH G S AGASTHYA,1
6947146,2,1597087,7,10047098,Aditya Hatwar,0,8,4,3,0,1,200.00,RHB,not out,0
6947151,1,1597088,1,8445356,Pradyumna,0,13,5,6,0,2,260.00,RHB,not out,0
6947151,1,1597088,2,6508655,Sudharshan,0,2,5,9,0,0,40.00,RHB,run out Mahesh,1
6947151,1,1597088,3,8445462,Prasad K S,1,4,8,4,0,0,50.00,RHB,c Guruprasad Ramachandrachar b Paneendra Gautham,1
6947151,1,1597088,4,19421271,Krishnamurthy,0,9,6,6,0,1,150.00,RHB,c Badriprasad b Paneendra Gautham,1
6947151,1,1597088,5,8445318,K S AKSHAY KAUSHIK,0,26,10,5,0,4,260.00,RHB,c Jeethu b Paneendra Gautham,1
6947151,1,1597088,6,8444531,Shreenidhi Prakash,0,1,3,3,0,0,33.33,RHB,b Badriprasad,1
6947151,1,1597088,7,8469156,Sridhar,0,2,5,4,0,0,40.00,RHB,not out,0
6947151,2,1597090,1,10052264,Srikrishna,0,0,6,1,0,0,0.00,RHB,retired hurt,1
6947151,2,1597090,2,8445499,Paneendra Gautham,0,20,9,17,0,3,222.22,RHB,b Sudharshan,1
6947151,2,1597090,3,8445420,Madhusudhan K S,0,3,6,8,0,0,50.00,RHB,retired hurt,1
6947151,2,1597090,4,8445368,Jeethu,0,0,1,1,0,0,0.00,LHB,c Krishnamurthy b K S AKSHAY KAUSHIK,1
6947151,2,1597090,5,1224122,Badriprasad,0,22,14,20,0,3,157.14,RHB,not out,0
6947151,2,1597090,6,8445342,Guruprasad Ramachandrachar,1,2,6,8,0,0,33.33,LHB,run out K S AKSHAY KAUSHIK,1
6947151,2,1597090,7,8445292,Mahesh,0,7,2,4,0,1,350.00,LHB,not out,0
6947151,3,1597090,1,8445368,Jeethu,0,4,3,0,0,0,133.33,,not out,0
6947151,3,1597090,2,1224122,Badriprasad,0,0,1,0,0,0,0.00,,b K S Akshay Kaushik,1
6947151,3,1597090,3,8445499,Paneendra Gautham,0,1,2,0,0,0,50.00,,not out,0
6947151,4,1597088,1,8444531,Shreenidhi Prakash,0,14,4,0,0,2,350.00,,not out,0
6947151,4,1597088,2,8445318,K S Akshay Kaushik,0,1,1,0,0,0,100.00,,not out,0
6947176,1,1597084,1,3542117,Amith P,0,7,6,2,0,1,116.67,RHB,retired,1
6947176,1,1597084,2,19048034,Balaji,0,0,0,8,0,0,0.00,RHB,not out,0
6947176,1,1597084,3,10046726,Shrivatsa Hatwar,0,2,7,3,0,0,28.57,RHB,retired,1
6947176,1,1597084,4,10031492,Mady,0,6,3,1,0,1,200.00,RHB,c †Vittala b Aditya Hatwar,1
6947176,1,1597084,5,8814171,Pavan Raghavendra,0,20,14,15,1,2,142.86,RHB,not out,0
6947176,1,1597084,6,8453971,Srikanth Krishnamurthy,0,3,5,4,0,0,60.00,RHB,c&b Vittala,1
6947176,1,1597084,7,8129644,Pavan Kashyap,1,23,11,7,1,3,209.09,RHB,run out Vittala,1
6947176,2,1597087,1,8578931,Srihari,0,6,6,2,1,0,100.00,LHB,retired hurt,1
6947176,2,1597087,2,7662592,Vittala  (wk),0,1,1,5,0,0,100.00,RHB,retired hurt,1
6947176,2,1597087,3,10031570,Sridhar Ramchandrachar,0,8,6,2,0,1,133.33,LHB,retired,1
6947176,2,1597087,4,8444550,Bharadwaj Srivatsa,1,10,9,13,0,1,111.11,RHB,b Pavan Raghavendra,1
6947176,2,1597087,5,8452770,Ashrith Kashyap,0,23,14,8,1,3,164.29,RHB,run out Pavan Kashyap / Mady,1
6947176,2,1597087,6,809163,Pranav PK,0,14,7,32,0,2,200.00,RHB,not out,0
6947176,2,1597087,7,10047098,Aditya Hatwar,0,1,1,26,0,0,100.00,RHB,not out,0
6947162,1,1597090,1,10052264,Srikrishna,0,4,6,3,0,0,66.67,RHB,retired out,1
6947162,1,1597090,2,8445499,Paneendra Gautham,0,8,8,17,1,0,100.00,RHB,not out,0
6947162,1,1597090,3,8445420,Madhusudhan K S,0,12,6,1,0,2,200.00,RHB,retired out,1
6947162,1,1597090,4,8445368,Jeethu,0,48,23,12,3,5,208.70,LHB,run out Sudhindhra / Srikanth T K,1
6947162,2,1597085,1,809867,Prabhav PK,0,7,6,4,0,1,116.67,RHB,retired out,1
6947162,2,1597085,2,8556484,Srinidhi NS,0,0,1,8,0,0,0.00,RHB,c †Guruprasad Ramachandrachar b Jeethu,1
6947162,2,1597085,3,8556544,Sudhindhra,0,14,7,3,1,1,200.00,RHB,retired hurt,1
6947162,2,1597085,4,8445414,Tej,0,14,6,5,0,2,233.33,RHB,c Badriprasad b Guruprasad Ramachandrachar,1
6947162,2,1597085,5,8846097,Vishnunandan,0,12,11,12,2,0,109.09,LHB,not out,0
6947162,2,1597085,6,5994303,Srikanth T K,0,27,9,8,0,4,300.00,RHB,not out,0
6947190,1,1597091,1,20546462,Hrishikesha,0,0,6,2,0,0,0.00,RHB,retired,1
6947190,1,1597091,2,4048334,Ravi Aniruddha,1,5,6,8,1,0,83.33,RHB,c †BHARATH G S AGASTHYA b Ajith P,1
6947190,1,1597091,3,4048300,Vadiraj,0,2,6,3,0,0,33.33,RHB,retired,1
6947190,1,1597091,4,5387685,Aprameya Guruprasad  (wk),0,0,1,8,0,0,0.00,RHB,run out Yashu / Ajith P,1
